Sigla;Código;Município;pib
BA;2913101;Ibititá;72580,13095
BA;2913200;Ibotirama;193997,1737
BA;2913309;Ichu;26323,72985
BA;2913408;Igaporã;92584,22371
BA;2913457;Igrapiúna;98564,02509
BA;2913507;Iguaí;115041,3888
BA;2913606;Ilhéus;2410416,855
BA;2913705;Inhambupe;292127,5348
BA;2913804;Ipecaetá;49086,18689
BA;2913903;Ipiaú;265527,9218
BA;2914000;Ipirá;310387,1687
BA;2914109;Ipupiara;46937,93974
BA;2914208;Irajuba;36401,16561
BA;2914307;Iramaia;47940,17499
BA;2914406;Iraquara;418896,9899
BA;2914505;Irará;133570,8373
BA;2914604;Irecê;715342,0253
BA;2914653;Itabela;240144,8087
BA;2914703;Itaberaba;465339,1803
BA;2914802;Itabuna;1960970,596
BA;2914901;Itacaré;199085,8399
BA;2915007;Itaeté;59173,4256
BA;2915106;Itagi;60043,55439
BA;2915205;Itagibá;514927,6519
BA;2915304;Itagimirim;59497,85667
BA;2915353;Itaguaçu da Bahia;71274,47096
BA;2915403;Itaju do Colônia;41792,32299
BA;2915502;Itajuípe;119298,6713
BA;2915601;Itamaraju;518646,7055
BA;2915700;Itamari;48259,47118
BA;2915809;Itambé;137612,9216
BA;2915908;Itanagra;38237,11868
BA;2916005;Itanhém;137141,4463
BA;2916104;Itaparica;115281,3277
BA;2916203;Itapé;49709,84142
BA;2916302;Itapebi;156681,9994
BA;2916401;Itapetinga;684835,2354
BA;2916500;Itapicuru;204978,3484
BA;2916609;Itapitanga;44201,51541
BA;2916708;Itaquara;47024,7659
BA;2916807;Itarantim;154593,0368
BA;2916856;Itatim;200773,8151
BA;2916906;Itiruçu;56359,51126
BA;2917003;Itiúba;164182,6589
BA;2917102;Itororó;117198,5053
BA;2917201;Ituaçu;119877,5123
BA;2917300;Ituberá;171625,9012
BA;2917334;Iuiú;62279,5613
BA;2917359;Jaborandi;627480,9578
BA;2917409;Jacaraci;57382,28603
BA;2917508;Jacobina;871933,4641
BA;2917607;Jaguaquara;316572,3653
BA;2917706;Jaguarari;559330,828
BA;2917805;Jaguaripe;96515,2079
BA;2917904;Jandaíra;78523,98816
BA;2918001;Jequié;1482788,147
BA;2918100;Jeremoabo;234028,6996
BA;2918209;Jiquiriçá;70180,27467
BA;2918308;Jitaúna;81973,22722
BA;2918357;João Dourado;138708,5183
BA;2918407;Juazeiro;2418775,507
BA;2918456;Jucuruçu;59601,48788
BA;2918506;Jussara;53047,04674
BA;2918555;Jussari;33370,18588
BA;2918605;Jussiape;32086,93264
BA;2918704;Lafaiete Coutinho;25799,03845
BA;2918753;Lagoa Real;55834,35306
BA;2918803;Laje;136495,385
BA;2918902;Lajedão;52752,95814
BA;2919009;Lajedinho;28422,02861
BA;2919058;Lajedo do Tabocal;36575,28473
BA;2919108;Lamarão;30355,54441
BA;2919157;Lapão;141148,9869
BA;2919207;Lauro de Freitas;3418326,148
BA;2919306;Lençóis;79191,52258
BA;2919405;Licínio de Almeida;73531,95101
BA;2919504;Livramento de Nossa Senhora;268750,2926
BA;2919553;Luís Eduardo Magalhães;4117542,782
BA;2919603;Macajuba;42380,96698
BA;2919702;Macarani;106023,6056
BA;2919801;Macaúbas;201368,5276
BA;2919900;Macururé;31525,83028
BA;2919926;Madre de Deus;240645,6929
BA;2919959;Maetinga;23396,84814
BA;2920007;Maiquinique;95663,28459
BA;2920106;Mairi;74135,06603
BA;2920205;Malhada;87790,11285
BA;2920304;Malhada de Pedras;37642,873
BA;2920403;Manoel Vitorino;65287,20067
BA;2920452;Mansidão;43734,24131
BA;2920502;Maracás;306424,9085
BA;2920601;Maragogipe;188057,5177
BA;2920700;Maraú;159358,2056
BA;2920809;Marcionílio Souza;44072,20979
BA;2920908;Mascote;75387,97679
BA;2921005;Mata de São João;620272,5196
BA;2921054;Matina;42823,9671
BA;2921104;Medeiros Neto;240255,9088
BA;2921203;Miguel Calmon;127513,5459
BA;2921302;Milagres;67227,25176
BA;2921401;Mirangaba;66019,1545
BA;2921450;Mirante;36705,99077
BA;2921500;Monte Santo;214746,2909
BA;2921609;Morpará;36722,32902
BA;2921708;Morro do Chapéu;292190,5538
BA;2921807;Mortugaba;49863,42102
BA;2921906;Mucugê;361747,6407
BA;2922003;Mucuri;1032959,572
BA;2922052;Mulungu do Morro;99384,2055
BA;2922102;Mundo Novo;93003,41666
BA;2922201;Muniz Ferreira;31187,39499
BA;2922250;Muquém de São Francisco;98164,90486
BA;2922300;Muritiba;129201,9879
BA;2922409;Mutuípe;220044,5536
BA;2922508;Nazaré;154397,9113
BA;2922607;Nilo Peçanha;86824,75538
BA;2922656;Nordestina;75092,02097
BA;2922706;Nova Canaã;81347,23865
BA;2922730;Nova Fátima;44439,12032
BA;2922755;Nova Ibiá;47465,43198
BA;2922805;Nova Itarana;34210,90581
BA;2922854;Nova Redenção;35289,23065
BA;2922904;Nova Soure;126851,6132
BA;2923001;Nova Viçosa;268886,6003
BA;2923035;Novo Horizonte;49124,46508
BA;2923050;Novo Triunfo;48516,21519
BA;2923100;Olindina;113052,3229
BA;2923209;Oliveira dos Brejinhos;136274,1183
BA;2923308;Ouriçangas;37645,20703
BA;2923357;Ourolândia;130792,4003
BA;2923407;Palmas de Monte Alto;111182,7597
BA;2923506;Palmeiras;50314,82367
BA;2923605;Paramirim;126473,4993
BA;2923704;Paratinga;121646,7119
BA;2923803;Paripiranga;212226,9319
BA;2923902;Pau Brasil;49354,13427
BA;2924009;Paulo Afonso;1851043,081
BA;2924058;Pé de Serra;61364,15221
BA;2924108;Pedrão;24402,35105
BA;2924207;Pedro Alexandre;55696,1781
BA;2924306;Piatã;113332,8741
BA;2924405;Pilão Arcado;136019,7084
BA;2924504;Pindaí;138428,434
BA;2924603;Pindobaçu;73342,42725
BA;2924652;Pintadas;51040,70901
BA;2924678;Piraí do Norte;54623,92176
BA;2924702;Piripá;37068,23322
